locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLNMODBO_00177	CDS	1791	ltrA_1		COG3344	Group II intron-encoded protein LtrA
PLNMODBO_00178	CDS	1203				IS110 family transposase ISSam1
PLNMODBO_00179	CDS	555				hypothetical protein
PLNMODBO_00180	CDS	738				hypothetical protein
PLNMODBO_00181	CDS	708				hypothetical protein
PLNMODBO_00182	CDS	636				hypothetical protein
PLNMODBO_00183	CDS	438	sapA			Spore-associated protein A
PLNMODBO_00184	CDS	486				hypothetical protein
PLNMODBO_00185	CDS	183				hypothetical protein
PLNMODBO_00186	CDS	276				hypothetical protein
PLNMODBO_00187	CDS	1386				hypothetical protein
PLNMODBO_00188	CDS	1155	xerC_1			Tyrosine recombinase XerC
PLNMODBO_00189	CDS	573				hypothetical protein
PLNMODBO_00190	CDS	1575				hypothetical protein
PLNMODBO_00191	CDS	162				hypothetical protein
PLNMODBO_00192	CDS	1338				hypothetical protein
PLNMODBO_00193	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
PLNMODBO_00194	CDS	1323				hypothetical protein
PLNMODBO_00195	CDS	921				hypothetical protein
PLNMODBO_00196	CDS	237				hypothetical protein
PLNMODBO_00197	CDS	504				hypothetical protein
PLNMODBO_00198	CDS	420				hypothetical protein
PLNMODBO_00199	CDS	477				hypothetical protein
PLNMODBO_00200	CDS	615				hypothetical protein
PLNMODBO_00201	CDS	243				hypothetical protein
PLNMODBO_00202	CDS	1038				hypothetical protein
PLNMODBO_00203	CDS	525				hypothetical protein
PLNMODBO_00204	CDS	672				hypothetical protein
PLNMODBO_00205	CDS	1578				hypothetical protein
PLNMODBO_00206	CDS	132				hypothetical protein
PLNMODBO_00207	CDS	231				hypothetical protein
PLNMODBO_00208	CDS	1242				hypothetical protein
PLNMODBO_00209	CDS	849				hypothetical protein
PLNMODBO_00210	CDS	210				hypothetical protein
PLNMODBO_00211	CDS	276				hypothetical protein
PLNMODBO_00212	CDS	690				hypothetical protein
PLNMODBO_00213	CDS	624	arpA_1			A-factor receptor protein
PLNMODBO_00214	CDS	1362				hypothetical protein
PLNMODBO_00215	CDS	147				hypothetical protein
PLNMODBO_00216	CDS	891				hypothetical protein
PLNMODBO_00217	CDS	708				hypothetical protein
PLNMODBO_00218	CDS	642	whiB_1			Transcriptional regulator WhiB
PLNMODBO_00219	CDS	1557				hypothetical protein
PLNMODBO_00220	CDS	192				hypothetical protein
PLNMODBO_00221	CDS	234				hypothetical protein
PLNMODBO_00222	CDS	525				hypothetical protein
PLNMODBO_00223	CDS	1719				hypothetical protein
PLNMODBO_00224	CDS	402				hypothetical protein
PLNMODBO_00225	CDS	693				hypothetical protein
PLNMODBO_00226	CDS	285				hypothetical protein
PLNMODBO_00227	CDS	123				hypothetical protein
PLNMODBO_00228	CDS	300				hypothetical protein
PLNMODBO_00229	CDS	1779	ltrA_2		COG3344	Group II intron-encoded protein LtrA
PLNMODBO_00230	CDS	162				hypothetical protein
PLNMODBO_00231	CDS	273				hypothetical protein
PLNMODBO_00232	CDS	822				hypothetical protein
PLNMODBO_00233	CDS	291				hypothetical protein
PLNMODBO_00234	CDS	285				hypothetical protein
PLNMODBO_00235	CDS	150				hypothetical protein
PLNMODBO_00236	CDS	228				hypothetical protein
PLNMODBO_00237	CDS	408				hypothetical protein
PLNMODBO_00238	CDS	7440	pks5	2.3.1.-	COG3321	Mycocerosic acid synthase-like polyketide synthase
PLNMODBO_00239	CDS	381				hypothetical protein
PLNMODBO_00240	CDS	1029				hypothetical protein
PLNMODBO_00241	CDS	480				hypothetical protein
PLNMODBO_00242	CDS	873				hypothetical protein
PLNMODBO_00243	CDS	1230	purD_1	6.3.4.13		Phosphoribosylamine--glycine ligase
PLNMODBO_00244	CDS	333				hypothetical protein
PLNMODBO_00245	CDS	1224				hypothetical protein
PLNMODBO_00246	CDS	513				hypothetical protein
PLNMODBO_00247	CDS	834				hypothetical protein
PLNMODBO_00248	CDS	396				hypothetical protein
PLNMODBO_00249	CDS	444				hypothetical protein
PLNMODBO_00250	CDS	444				hypothetical protein
PLNMODBO_00251	CDS	348				hypothetical protein
PLNMODBO_00252	CDS	786				hypothetical protein
PLNMODBO_00253	CDS	702				hypothetical protein
PLNMODBO_00254	CDS	480				hypothetical protein
PLNMODBO_00255	CDS	657				hypothetical protein
PLNMODBO_00256	CDS	756	dpnA	2.1.1.72		Modification methylase DpnIIB
PLNMODBO_00257	CDS	1122				hypothetical protein
PLNMODBO_00258	CDS	312				hypothetical protein
PLNMODBO_00259	CDS	669				hypothetical protein
PLNMODBO_00260	CDS	1362				hypothetical protein
PLNMODBO_00261	CDS	1473				hypothetical protein
PLNMODBO_00262	CDS	453				hypothetical protein
PLNMODBO_00263	CDS	1509				hypothetical protein
PLNMODBO_00264	CDS	567				hypothetical protein
PLNMODBO_00265	CDS	789				hypothetical protein
PLNMODBO_00266	CDS	615				hypothetical protein
PLNMODBO_00267	CDS	681				hypothetical protein
PLNMODBO_00268	tRNA	95				tRNA-Thr(cgt)
PLNMODBO_00269	CDS	456				hypothetical protein
PLNMODBO_00270	CDS	345				hypothetical protein
PLNMODBO_00271	CDS	1107				hypothetical protein
PLNMODBO_00272	CDS	756			COG3039	IS5 family transposase IS1373
PLNMODBO_00273	CDS	618				hypothetical protein
PLNMODBO_00274	CDS	534				hypothetical protein
PLNMODBO_00275	CDS	498				hypothetical protein
PLNMODBO_00276	CDS	438				hypothetical protein
PLNMODBO_00277	CDS	786				hypothetical protein
PLNMODBO_00278	CDS	858				hypothetical protein
PLNMODBO_00279	CDS	696				hypothetical protein
PLNMODBO_00280	CDS	759				hypothetical protein
PLNMODBO_00281	CDS	408				hypothetical protein
PLNMODBO_00282	CDS	381				hypothetical protein
PLNMODBO_00283	CDS	804				hypothetical protein
PLNMODBO_00284	CDS	357				hypothetical protein
PLNMODBO_00285	CDS	408				hypothetical protein
PLNMODBO_00286	CDS	327				hypothetical protein
PLNMODBO_00287	CDS	1788				hypothetical protein
PLNMODBO_00288	CDS	612				hypothetical protein
PLNMODBO_00289	CDS	801				hypothetical protein
PLNMODBO_00290	CDS	426				hypothetical protein
PLNMODBO_00291	CDS	741				hypothetical protein
PLNMODBO_00292	CDS	1245				hypothetical protein
PLNMODBO_00293	CDS	1122				hypothetical protein
PLNMODBO_00294	CDS	303				hypothetical protein
PLNMODBO_00295	CDS	624	arpA_2			A-factor receptor protein
PLNMODBO_00296	CDS	282				hypothetical protein
PLNMODBO_00297	CDS	225				hypothetical protein
PLNMODBO_00298	CDS	1569				hypothetical protein
PLNMODBO_00299	CDS	951				hypothetical protein
PLNMODBO_00300	CDS	690				hypothetical protein
PLNMODBO_00301	CDS	756				hypothetical protein
PLNMODBO_00302	CDS	3726	narG_2	1.7.5.1	COG5013	Nitrate reductase alpha subunit
PLNMODBO_00303	CDS	1641	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
PLNMODBO_00304	CDS	627				hypothetical protein
PLNMODBO_00305	CDS	792	narX_2		COG2180	Nitrate reductase-like protein NarX
PLNMODBO_00306	CDS	1056				hypothetical protein
PLNMODBO_00307	CDS	1065				hypothetical protein
PLNMODBO_00308	CDS	492	liaR_1		COG2197	Transcriptional regulatory protein LiaR
PLNMODBO_00309	CDS	1026				hypothetical protein
PLNMODBO_00310	CDS	183				hypothetical protein
PLNMODBO_00311	CDS	459				hypothetical protein
PLNMODBO_00312	CDS	732				hypothetical protein
PLNMODBO_00313	CDS	348				hypothetical protein
PLNMODBO_00314	CDS	477				hypothetical protein
PLNMODBO_00315	CDS	657				hypothetical protein
PLNMODBO_00316	CDS	408				hypothetical protein
PLNMODBO_00317	CDS	702				hypothetical protein
PLNMODBO_00318	CDS	456				hypothetical protein
PLNMODBO_00319	CDS	756			COG3039	IS5 family transposase IS1373
PLNMODBO_00320	CDS	1242				hypothetical protein
PLNMODBO_00321	CDS	732				hypothetical protein
PLNMODBO_00322	CDS	1041				hypothetical protein
PLNMODBO_00323	CDS	1428	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
PLNMODBO_00324	CDS	654				hypothetical protein
PLNMODBO_00325	CDS	339				hypothetical protein
PLNMODBO_00326	CDS	948				hypothetical protein
PLNMODBO_00327	CDS	615	ethR			HTH-type transcriptional regulator EthR
PLNMODBO_00328	CDS	849				hypothetical protein
PLNMODBO_00329	CDS	1254	ncsB3_1	1.14.15.31		2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
PLNMODBO_00330	CDS	693	pytH_1	3.1.1.88		Pyrethroid hydrolase
PLNMODBO_00331	CDS	210				hypothetical protein
PLNMODBO_00332	CDS	1377	ddmA1_1	1.18.1.3		Dicamba O-demethylase 1, ferredoxin reductase component
PLNMODBO_00333	CDS	1227		1.14.-.-	COG2124	Cytochrome P450 107B1
PLNMODBO_00334	CDS	288				hypothetical protein
PLNMODBO_00335	CDS	309				hypothetical protein
PLNMODBO_00336	CDS	411				hypothetical protein
PLNMODBO_00337	CDS	306				hypothetical protein
PLNMODBO_00338	CDS	726	inhA_1	4.2.1.103		Isonitrile hydratase
PLNMODBO_00339	CDS	702				hypothetical protein
PLNMODBO_00340	CDS	438				hypothetical protein
PLNMODBO_00341	CDS	396				hypothetical protein
PLNMODBO_00342	CDS	432				18 kDa heat shock protein
PLNMODBO_00343	CDS	633				hypothetical protein
PLNMODBO_00344	CDS	282				hypothetical protein
PLNMODBO_00345	CDS	144				hypothetical protein
PLNMODBO_00346	CDS	186				hypothetical protein
PLNMODBO_00347	CDS	363				hypothetical protein
PLNMODBO_00348	CDS	342				hypothetical protein
PLNMODBO_00349	CDS	345				hypothetical protein
PLNMODBO_00350	CDS	810				hypothetical protein
PLNMODBO_00351	CDS	216				hypothetical protein
PLNMODBO_00352	CDS	243				hypothetical protein
PLNMODBO_00353	CDS	2127	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
PLNMODBO_00354	CDS	270				hypothetical protein
PLNMODBO_00355	CDS	672	nreC_1		COG2197	Oxygen regulatory protein NreC
PLNMODBO_00356	CDS	1128				hypothetical protein
PLNMODBO_00357	CDS	174				hypothetical protein
PLNMODBO_00358	CDS	1503	dadA_1	1.4.99.-		D-amino acid dehydrogenase
PLNMODBO_00359	CDS	780	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
PLNMODBO_00360	CDS	804				hypothetical protein
PLNMODBO_00361	CDS	672				hypothetical protein
PLNMODBO_00362	CDS	576				hypothetical protein
PLNMODBO_00363	CDS	1827				hypothetical protein
PLNMODBO_00364	CDS	1926				hypothetical protein
PLNMODBO_00365	CDS	1173				hypothetical protein
PLNMODBO_00366	CDS	897				hypothetical protein
PLNMODBO_00367	CDS	1308	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
PLNMODBO_00368	CDS	2124	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
PLNMODBO_00369	CDS	510				hypothetical protein
PLNMODBO_00370	CDS	513				hypothetical protein
PLNMODBO_00371	CDS	1314				hypothetical protein
PLNMODBO_00372	CDS	1056	chiD	3.2.1.14		Chitinase D
PLNMODBO_00373	CDS	192				hypothetical protein
PLNMODBO_00374	CDS	1737				hypothetical protein
PLNMODBO_00375	CDS	1320	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PLNMODBO_00376	CDS	294				hypothetical protein
PLNMODBO_00377	CDS	972				hypothetical protein
PLNMODBO_00378	CDS	333				hypothetical protein
PLNMODBO_00379	CDS	1212				hypothetical protein
PLNMODBO_00380	CDS	999				hypothetical protein
PLNMODBO_00381	CDS	714	rnhA	3.1.26.4		Ribonuclease H
PLNMODBO_00382	CDS	1422				hypothetical protein
PLNMODBO_00383	CDS	1017	feaR		COG2207	Transcriptional activator FeaR
PLNMODBO_00384	CDS	1116	gutB_1	1.1.1.-	COG1063	Sorbitol dehydrogenase
PLNMODBO_00385	CDS	534				hypothetical protein
PLNMODBO_00386	CDS	417				hypothetical protein
PLNMODBO_00387	CDS	675				hypothetical protein
PLNMODBO_00388	CDS	1188				hypothetical protein
PLNMODBO_00389	CDS	1050	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
PLNMODBO_00390	CDS	975	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
PLNMODBO_00391	CDS	504	malT_1			HTH-type transcriptional regulator MalT
PLNMODBO_00392	CDS	1458	mpdC	1.2.1.98		Hydroxyisobutyraldehyde dehydrogenase
PLNMODBO_00393	CDS	1377				hypothetical protein
PLNMODBO_00394	CDS	1359				hypothetical protein
PLNMODBO_00395	CDS	1248				hypothetical protein
PLNMODBO_00396	CDS	1104				hypothetical protein
PLNMODBO_00397	CDS	768				hypothetical protein
PLNMODBO_00398	CDS	729				hypothetical protein
PLNMODBO_00399	CDS	1089				hypothetical protein
PLNMODBO_00400	CDS	1086				hypothetical protein
PLNMODBO_00401	CDS	387			COG0346	Virulence protein
PLNMODBO_00402	CDS	174				hypothetical protein
PLNMODBO_00403	CDS	1053	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
PLNMODBO_00404	CDS	1068	ispB_1	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
PLNMODBO_00405	CDS	900				hypothetical protein
PLNMODBO_00406	CDS	636	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
PLNMODBO_00407	CDS	849				hypothetical protein
PLNMODBO_00408	CDS	1947	shc_1	4.2.1.129	COG1657	Squalene--hopene cyclase
PLNMODBO_00409	CDS	372				hypothetical protein
PLNMODBO_00410	CDS	402				hypothetical protein
PLNMODBO_00411	CDS	465				hypothetical protein
PLNMODBO_00412	CDS	2421				hypothetical protein
PLNMODBO_00413	CDS	759				hypothetical protein
PLNMODBO_00414	CDS	2895				hypothetical protein
PLNMODBO_00415	CDS	345				hypothetical protein
PLNMODBO_00416	CDS	957				hypothetical protein
PLNMODBO_00417	CDS	675				hypothetical protein
PLNMODBO_00418	CDS	939				hypothetical protein
PLNMODBO_00419	CDS	999	fabH_1	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
PLNMODBO_00420	CDS	5607				hypothetical protein
PLNMODBO_00421	CDS	6213	dhbF_2		COG1020	Dimodular nonribosomal peptide synthase
PLNMODBO_00422	CDS	909	oxyR_1			Hydrogen peroxide-inducible genes activator
PLNMODBO_00423	CDS	828	rhtA_1		COG5006	Threonine/homoserine exporter RhtA
PLNMODBO_00424	CDS	1950				hypothetical protein
PLNMODBO_00425	CDS	339				hypothetical protein
PLNMODBO_00426	CDS	159				hypothetical protein
PLNMODBO_00427	CDS	228				hypothetical protein
PLNMODBO_00428	CDS	795	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PLNMODBO_00429	CDS	1440				hypothetical protein
PLNMODBO_00430	CDS	309				hypothetical protein
PLNMODBO_00431	CDS	762	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
PLNMODBO_00432	CDS	1410				hypothetical protein
PLNMODBO_00433	CDS	999	sugA		COG1175	Trehalose transport system permease protein SugA
PLNMODBO_00434	CDS	867	dasC_1		COG0395	Diacetylchitobiose uptake system permease protein DasC
PLNMODBO_00435	CDS	993		1.1.1.407	COG1063	D-altritol 5-dehydrogenase
PLNMODBO_00436	CDS	681				hypothetical protein
PLNMODBO_00437	CDS	519				hypothetical protein
PLNMODBO_00438	CDS	996	mshD_1	2.3.1.189		Mycothiol acetyltransferase
