locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKLDFEFB_00041	CDS	1095				hypothetical protein
GKLDFEFB_00042	CDS	918			COG3039	IS5 family transposase IS4811
GKLDFEFB_00043	CDS	909	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
GKLDFEFB_00044	CDS	993	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
GKLDFEFB_00045	CDS	282				hypothetical protein
GKLDFEFB_00046	CDS	324				hypothetical protein
GKLDFEFB_00047	CDS	474	cadI		COG0346	Cadmium-induced protein CadI
GKLDFEFB_00048	CDS	378				hypothetical protein
GKLDFEFB_00049	CDS	1122	acr3		COG0798	Arsenical-resistance protein Acr3
GKLDFEFB_00050	CDS	495	arsC	1.20.4.4		Arsenate reductase
GKLDFEFB_00051	CDS	1284				hypothetical protein
GKLDFEFB_00052	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
GKLDFEFB_00053	CDS	939	cysL		COG0583	HTH-type transcriptional regulator CysL
GKLDFEFB_00054	CDS	1008	yfmJ_1	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
GKLDFEFB_00055	CDS	1962	bmrA_1	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
GKLDFEFB_00056	CDS	417				hypothetical protein
GKLDFEFB_00057	CDS	258				hypothetical protein
GKLDFEFB_00058	CDS	1857				hypothetical protein
GKLDFEFB_00059	CDS	108				hypothetical protein
GKLDFEFB_00060	CDS	99				hypothetical protein
GKLDFEFB_00061	CDS	750				hypothetical protein
GKLDFEFB_00062	CDS	600				hypothetical protein
GKLDFEFB_00063	CDS	1245				hypothetical protein
GKLDFEFB_00064	CDS	891				hypothetical protein
GKLDFEFB_00065	CDS	471				hypothetical protein
GKLDFEFB_00066	CDS	1017	sigJ_1			ECF RNA polymerase sigma factor SigJ
GKLDFEFB_00067	CDS	783				hypothetical protein
GKLDFEFB_00068	CDS	372				hypothetical protein
GKLDFEFB_00069	CDS	321				hypothetical protein
GKLDFEFB_00070	CDS	3099			COG0247	putative protein
GKLDFEFB_00071	CDS	1755		3.2.1.28	COG3387	Trehalase
GKLDFEFB_00072	CDS	1029	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
GKLDFEFB_00073	CDS	819	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
GKLDFEFB_00074	CDS	1620				hypothetical protein
GKLDFEFB_00075	CDS	762	tipA_1			HTH-type transcriptional activator TipA
GKLDFEFB_00076	CDS	3690	narG_1	1.7.5.1	COG5013	Nitrate reductase alpha subunit
GKLDFEFB_00077	CDS	1641	narY_1	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
GKLDFEFB_00078	CDS	627				hypothetical protein
GKLDFEFB_00079	CDS	807	narX_1		COG2180	Nitrate reductase-like protein NarX
GKLDFEFB_00080	CDS	933				hypothetical protein
GKLDFEFB_00081	CDS	1284	icl	4.1.3.1	COG2224	Isocitrate lyase
GKLDFEFB_00082	CDS	1599	aceB_1	2.3.3.9		Malate synthase
GKLDFEFB_00083	CDS	870	fadB2_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
GKLDFEFB_00084	CDS	1140	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
GKLDFEFB_00085	CDS	906	mmgF	4.1.3.-	COG2513	2-methylisocitrate lyase
GKLDFEFB_00086	CDS	1509	prpD2	4.2.1.79	COG2079	2-methylcitrate dehydratase 2
GKLDFEFB_00087	CDS	1443	prpR		COG1396	HTH-type transcriptional regulator PrpR
GKLDFEFB_00088	CDS	570	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
GKLDFEFB_00089	CDS	999	paoB_1	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
GKLDFEFB_00090	CDS	2229	paoC_1	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
GKLDFEFB_00091	CDS	210				hypothetical protein
GKLDFEFB_00092	CDS	756	embR_1		COG1716	Transcriptional regulatory protein EmbR
GKLDFEFB_00093	CDS	1692	otr(B)			oxytetracycline resistance efflux MFS transporter OtrB
GKLDFEFB_00094	CDS	498				hypothetical protein
GKLDFEFB_00095	CDS	1278		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 1
GKLDFEFB_00096	CDS	1269		2.3.1.-	COG0304	Actinorhodin polyketide putative beta-ketoacyl synthase 2
GKLDFEFB_00097	CDS	288				Oxytetracycline polyketide synthase acyl carrier protein
GKLDFEFB_00098	CDS	1839	asnO_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
GKLDFEFB_00099	CDS	1257	oxyE_1	1.14.13.232		6-methylpretetramide 4-monooxygenase
GKLDFEFB_00100	CDS	1038	mmcR_1	2.1.1.316		Mitomycin biosynthesis 6-O-methyltransferase
GKLDFEFB_00101	CDS	1935	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
GKLDFEFB_00102	CDS	453				hypothetical protein
GKLDFEFB_00103	CDS	792	actIII	1.3.1.-		Putative ketoacyl reductase
GKLDFEFB_00104	CDS	954				hypothetical protein
GKLDFEFB_00105	CDS	1674	oxyL	1.14.13.232		6-methylpretetramide 4-monooxygenase
GKLDFEFB_00106	CDS	759	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
GKLDFEFB_00107	CDS	774	kynB	3.5.1.9		Kynurenine formamidase
GKLDFEFB_00108	CDS	1038				hypothetical protein
GKLDFEFB_00109	CDS	1023	ppsE_1	2.3.1.41	COG3321	Phthiocerol synthesis polyketide synthase type I PpsE
GKLDFEFB_00110	CDS	1080	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
GKLDFEFB_00111	CDS	429	oxyR_1	1.3.98.4		5a,11a-dehydrotetracycline/5a,11a-dehydrooxytetracycline reductase
GKLDFEFB_00112	CDS	1512	oxyS_1	1.14.13.234		12-dehydrotetracycline 5-monooxygenase/anhydrotetracycline 6-monooxygenase
GKLDFEFB_00113	CDS	1035	oxyT	2.1.1.335		N,N-dimethyltransferase OxyT
GKLDFEFB_00114	CDS	1986	otr(A)			tetracycline resistance ribosomal protection protein Otr(A)
GKLDFEFB_00115	CDS	714	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
GKLDFEFB_00116	CDS	816				hypothetical protein
GKLDFEFB_00117	CDS	906				hypothetical protein
GKLDFEFB_00118	CDS	243				hypothetical protein
GKLDFEFB_00119	CDS	495				hypothetical protein
GKLDFEFB_00120	CDS	594				hypothetical protein
GKLDFEFB_00121	CDS	1251	mycG_1	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
GKLDFEFB_00122	CDS	873		2.1.1.255		Geranyl diphosphate 2-C-methyltransferase
GKLDFEFB_00123	CDS	1062		4.2.3.118		2-methylisoborneol synthase
GKLDFEFB_00124	CDS	1455				hypothetical protein
GKLDFEFB_00125	CDS	444		1.1.98.-		F420H(2)-dependent quinone reductase
GKLDFEFB_00126	CDS	528				hypothetical protein
GKLDFEFB_00127	CDS	474				hypothetical protein
GKLDFEFB_00128	CDS	888				hypothetical protein
GKLDFEFB_00129	CDS	483	gyrB_1	5.6.2.2		DNA gyrase subunit B
GKLDFEFB_00130	CDS	2091	gyrBR_1	5.6.2.2		DNA gyrase subunit B, novobiocin-resistant
GKLDFEFB_00131	CDS	1287				hypothetical protein
GKLDFEFB_00132	CDS	447				hypothetical protein
GKLDFEFB_00133	CDS	669	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
GKLDFEFB_00134	CDS	2568				hypothetical protein
GKLDFEFB_00135	CDS	3519				hypothetical protein
GKLDFEFB_00136	CDS	840				hypothetical protein
GKLDFEFB_00137	CDS	1302				hypothetical protein
GKLDFEFB_00138	CDS	1428				hypothetical protein
GKLDFEFB_00139	CDS	774				hypothetical protein
GKLDFEFB_00140	CDS	525				hypothetical protein
GKLDFEFB_00141	CDS	183				hypothetical protein
GKLDFEFB_00142	CDS	879	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
GKLDFEFB_00143	CDS	135				hypothetical protein
GKLDFEFB_00144	CDS	396				hypothetical protein
GKLDFEFB_00145	CDS	1974				hypothetical protein
GKLDFEFB_00146	CDS	339				hypothetical protein
GKLDFEFB_00147	CDS	945				hypothetical protein
GKLDFEFB_00148	CDS	468				hypothetical protein
GKLDFEFB_00149	CDS	513				hypothetical protein
GKLDFEFB_00150	CDS	276				hypothetical protein
GKLDFEFB_00151	CDS	729				hypothetical protein
GKLDFEFB_00152	CDS	165				hypothetical protein
GKLDFEFB_00153	CDS	1071				hypothetical protein
GKLDFEFB_00154	CDS	783				hypothetical protein
GKLDFEFB_00155	CDS	201				hypothetical protein
GKLDFEFB_00156	CDS	630	thpR_1	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
GKLDFEFB_00157	CDS	714				hypothetical protein
GKLDFEFB_00158	CDS	96				hypothetical protein
GKLDFEFB_00159	CDS	603	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
GKLDFEFB_00160	CDS	219				hypothetical protein
GKLDFEFB_00161	CDS	240				hypothetical protein
GKLDFEFB_00162	CDS	129				hypothetical protein
GKLDFEFB_00163	CDS	693				hypothetical protein
GKLDFEFB_00164	CDS	729				hypothetical protein
GKLDFEFB_00165	CDS	768				hypothetical protein
GKLDFEFB_00166	CDS	729				hypothetical protein
GKLDFEFB_00167	CDS	348				hypothetical protein
GKLDFEFB_00168	CDS	996				hypothetical protein
GKLDFEFB_00169	CDS	483	sigF_1		COG1191	RNA polymerase sigma factor SigF
GKLDFEFB_00170	CDS	381				hypothetical protein
GKLDFEFB_00171	CDS	1443				hypothetical protein
GKLDFEFB_00172	CDS	174				hypothetical protein
GKLDFEFB_00173	CDS	189				hypothetical protein
GKLDFEFB_00174	CDS	837				hypothetical protein
GKLDFEFB_00175	CDS	1152		1.-.-.-	COG1018	NADPH oxidoreductase
GKLDFEFB_00176	CDS	1143	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
GKLDFEFB_00177	CDS	555				hypothetical protein
GKLDFEFB_00178	CDS	384				hypothetical protein
GKLDFEFB_00179	CDS	459				hypothetical protein
GKLDFEFB_00180	CDS	999				hypothetical protein
GKLDFEFB_00181	CDS	147				hypothetical protein
GKLDFEFB_00182	CDS	249				hypothetical protein
GKLDFEFB_00183	CDS	588				hypothetical protein
GKLDFEFB_00184	CDS	405				IS701 family transposase ISRhosp4
GKLDFEFB_00185	CDS	381			COG3039	IS5 family transposase ISSgr2
GKLDFEFB_00186	CDS	555				hypothetical protein
GKLDFEFB_00187	CDS	312			COG3039	IS5 family transposase ISSan1
GKLDFEFB_00188	CDS	279				hypothetical protein
GKLDFEFB_00189	CDS	567				hypothetical protein
GKLDFEFB_00190	CDS	471				hypothetical protein
GKLDFEFB_00191	CDS	1791	ltrA_1		COG3344	Group II intron-encoded protein LtrA
GKLDFEFB_00192	CDS	1203				IS110 family transposase ISSam1
GKLDFEFB_00193	CDS	555				hypothetical protein
GKLDFEFB_00194	CDS	738				hypothetical protein
GKLDFEFB_00195	CDS	708				hypothetical protein
GKLDFEFB_00196	CDS	636				hypothetical protein
GKLDFEFB_00197	CDS	438	sapA			Spore-associated protein A
GKLDFEFB_00198	CDS	486				hypothetical protein
GKLDFEFB_00199	CDS	183				hypothetical protein
GKLDFEFB_00200	CDS	276				hypothetical protein
GKLDFEFB_00201	CDS	1386				hypothetical protein
GKLDFEFB_00202	CDS	1155	xerC_1			Tyrosine recombinase XerC
GKLDFEFB_00203	CDS	573				hypothetical protein
GKLDFEFB_00204	CDS	1575				hypothetical protein
GKLDFEFB_00205	CDS	162				hypothetical protein
GKLDFEFB_00206	CDS	1338				hypothetical protein
GKLDFEFB_00207	CDS	543	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
GKLDFEFB_00208	CDS	1323				hypothetical protein
GKLDFEFB_00209	CDS	921				hypothetical protein
GKLDFEFB_00210	CDS	237				hypothetical protein
GKLDFEFB_00211	CDS	504				hypothetical protein
GKLDFEFB_00212	CDS	420				hypothetical protein
GKLDFEFB_00213	CDS	477				hypothetical protein
GKLDFEFB_00214	CDS	615				hypothetical protein
GKLDFEFB_00215	CDS	243				hypothetical protein
GKLDFEFB_00216	CDS	1038				hypothetical protein
GKLDFEFB_00217	CDS	525				hypothetical protein
GKLDFEFB_00218	CDS	672				hypothetical protein
GKLDFEFB_00219	CDS	1578				hypothetical protein
GKLDFEFB_00220	CDS	132				hypothetical protein
GKLDFEFB_00221	CDS	231				hypothetical protein
GKLDFEFB_00222	CDS	1242				hypothetical protein
GKLDFEFB_00223	CDS	849				hypothetical protein
GKLDFEFB_00224	CDS	210				hypothetical protein
GKLDFEFB_00225	CDS	276				hypothetical protein
GKLDFEFB_00226	CDS	690				hypothetical protein
GKLDFEFB_00227	CDS	624	arpA_1			A-factor receptor protein
GKLDFEFB_00228	CDS	1362				hypothetical protein
GKLDFEFB_00229	CDS	147				hypothetical protein
GKLDFEFB_00230	CDS	891				hypothetical protein
GKLDFEFB_00231	CDS	708				hypothetical protein
GKLDFEFB_00232	CDS	642	whiB_1			Transcriptional regulator WhiB
GKLDFEFB_00233	CDS	1557				hypothetical protein
GKLDFEFB_00234	CDS	192				hypothetical protein
GKLDFEFB_00235	CDS	234				hypothetical protein
GKLDFEFB_00236	CDS	525				hypothetical protein
GKLDFEFB_00237	CDS	1719				hypothetical protein
GKLDFEFB_00238	CDS	402				hypothetical protein
GKLDFEFB_00239	CDS	693				hypothetical protein
GKLDFEFB_00240	CDS	285				hypothetical protein
GKLDFEFB_00241	CDS	123				hypothetical protein
GKLDFEFB_00242	CDS	300				hypothetical protein
GKLDFEFB_00243	CDS	1779	ltrA_2		COG3344	Group II intron-encoded protein LtrA
GKLDFEFB_00244	CDS	162				hypothetical protein
GKLDFEFB_00245	CDS	273				hypothetical protein
GKLDFEFB_00246	CDS	822				hypothetical protein
GKLDFEFB_00247	CDS	291				hypothetical protein
GKLDFEFB_00248	CDS	285				hypothetical protein
GKLDFEFB_00249	CDS	150				hypothetical protein
GKLDFEFB_00250	CDS	228				hypothetical protein
GKLDFEFB_00251	CDS	408				hypothetical protein
GKLDFEFB_00252	CDS	7440	pks5	2.3.1.-	COG3321	Mycocerosic acid synthase-like polyketide synthase
GKLDFEFB_00253	CDS	381				hypothetical protein
GKLDFEFB_00254	CDS	1029				hypothetical protein
GKLDFEFB_00255	CDS	480				hypothetical protein
GKLDFEFB_00256	CDS	873				hypothetical protein
GKLDFEFB_00257	CDS	1230	purD_1	6.3.4.13		Phosphoribosylamine--glycine ligase
GKLDFEFB_00258	CDS	333				hypothetical protein
GKLDFEFB_00259	CDS	1224				hypothetical protein
GKLDFEFB_00260	CDS	513				hypothetical protein
GKLDFEFB_00261	CDS	834				hypothetical protein
GKLDFEFB_00262	CDS	396				hypothetical protein
GKLDFEFB_00263	CDS	444				hypothetical protein
GKLDFEFB_00264	CDS	444				hypothetical protein
GKLDFEFB_00265	CDS	348				hypothetical protein
GKLDFEFB_00266	CDS	786				hypothetical protein
GKLDFEFB_00267	CDS	702				hypothetical protein
GKLDFEFB_00268	CDS	480				hypothetical protein
GKLDFEFB_00269	CDS	657				hypothetical protein
GKLDFEFB_00270	CDS	756	dpnA	2.1.1.72		Modification methylase DpnIIB
GKLDFEFB_00271	CDS	1122				hypothetical protein
GKLDFEFB_00272	CDS	312				hypothetical protein
GKLDFEFB_00273	CDS	669				hypothetical protein
GKLDFEFB_00274	CDS	1362				hypothetical protein
GKLDFEFB_00275	CDS	1473				hypothetical protein
GKLDFEFB_00276	CDS	453				hypothetical protein
GKLDFEFB_00277	CDS	1509				hypothetical protein
GKLDFEFB_00278	CDS	567				hypothetical protein
GKLDFEFB_00279	CDS	789				hypothetical protein
GKLDFEFB_00280	CDS	615				hypothetical protein
GKLDFEFB_00281	CDS	681				hypothetical protein
GKLDFEFB_00282	tRNA	95				tRNA-Thr(cgt)
GKLDFEFB_00283	CDS	456				hypothetical protein
GKLDFEFB_00284	CDS	345				hypothetical protein
GKLDFEFB_00285	CDS	1107				hypothetical protein
GKLDFEFB_00286	CDS	756			COG3039	IS5 family transposase IS1373
GKLDFEFB_00287	CDS	618				hypothetical protein
GKLDFEFB_00288	CDS	534				hypothetical protein
GKLDFEFB_00289	CDS	498				hypothetical protein
GKLDFEFB_00290	CDS	438				hypothetical protein
GKLDFEFB_00291	CDS	786				hypothetical protein
GKLDFEFB_00292	CDS	858				hypothetical protein
GKLDFEFB_00293	CDS	696				hypothetical protein
GKLDFEFB_00294	CDS	759				hypothetical protein
GKLDFEFB_00295	CDS	408				hypothetical protein
GKLDFEFB_00296	CDS	381				hypothetical protein
GKLDFEFB_00297	CDS	804				hypothetical protein
GKLDFEFB_00298	CDS	357				hypothetical protein
GKLDFEFB_00299	CDS	327				hypothetical protein
GKLDFEFB_00300	CDS	1788				hypothetical protein
GKLDFEFB_00301	CDS	612				hypothetical protein
GKLDFEFB_00302	CDS	801				hypothetical protein
GKLDFEFB_00303	CDS	426				hypothetical protein
GKLDFEFB_00304	CDS	741				hypothetical protein
GKLDFEFB_00305	CDS	1245				hypothetical protein
GKLDFEFB_00306	CDS	1122				hypothetical protein
GKLDFEFB_00307	CDS	303				hypothetical protein
GKLDFEFB_00308	CDS	624	arpA_2			A-factor receptor protein
GKLDFEFB_00309	CDS	282				hypothetical protein
GKLDFEFB_00310	CDS	225				hypothetical protein
GKLDFEFB_00311	CDS	1569				hypothetical protein
GKLDFEFB_00312	CDS	951				hypothetical protein
GKLDFEFB_00313	CDS	690				hypothetical protein
GKLDFEFB_00314	CDS	756				hypothetical protein
GKLDFEFB_00315	CDS	3726	narG_2	1.7.5.1	COG5013	Nitrate reductase alpha subunit
GKLDFEFB_00316	CDS	1641	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
GKLDFEFB_00317	CDS	627				hypothetical protein
GKLDFEFB_00318	CDS	792	narX_2		COG2180	Nitrate reductase-like protein NarX
GKLDFEFB_00319	CDS	1056				hypothetical protein
GKLDFEFB_00320	CDS	1065				hypothetical protein
GKLDFEFB_00321	CDS	492	liaR_1		COG2197	Transcriptional regulatory protein LiaR
GKLDFEFB_00322	CDS	1026				hypothetical protein
GKLDFEFB_00323	CDS	183				hypothetical protein
GKLDFEFB_00324	CDS	459				hypothetical protein
GKLDFEFB_00325	CDS	732				hypothetical protein
GKLDFEFB_00326	CDS	348				hypothetical protein
GKLDFEFB_00327	CDS	477				hypothetical protein
GKLDFEFB_00328	CDS	657				hypothetical protein
GKLDFEFB_00329	CDS	408				hypothetical protein
GKLDFEFB_00330	CDS	702				hypothetical protein
GKLDFEFB_00331	CDS	456				hypothetical protein
GKLDFEFB_00332	CDS	756			COG3039	IS5 family transposase IS1373
GKLDFEFB_00333	CDS	1242				hypothetical protein
GKLDFEFB_00334	CDS	732				hypothetical protein
GKLDFEFB_00335	CDS	1041				hypothetical protein
GKLDFEFB_00336	CDS	1428	plcN_1	3.1.4.3	COG3511	Non-hemolytic phospholipase C
GKLDFEFB_00337	CDS	654				hypothetical protein
GKLDFEFB_00338	CDS	339				hypothetical protein
GKLDFEFB_00339	CDS	948				hypothetical protein
GKLDFEFB_00340	CDS	615	ethR			HTH-type transcriptional regulator EthR
GKLDFEFB_00341	CDS	849				hypothetical protein
GKLDFEFB_00342	CDS	1254	ncsB3_1	1.14.15.31		2-hydroxy-5-methyl-1-naphthoate 7-hydroxylase
GKLDFEFB_00343	CDS	693	pytH_1	3.1.1.88		Pyrethroid hydrolase
GKLDFEFB_00344	CDS	210				hypothetical protein
GKLDFEFB_00345	CDS	1377	ddmA1_1	1.18.1.3		Dicamba O-demethylase 1, ferredoxin reductase component
GKLDFEFB_00346	CDS	1227		1.14.-.-	COG2124	Cytochrome P450 107B1
GKLDFEFB_00347	CDS	288				hypothetical protein
GKLDFEFB_00348	CDS	309				hypothetical protein
GKLDFEFB_00349	CDS	411				hypothetical protein
GKLDFEFB_00350	CDS	306				hypothetical protein
GKLDFEFB_00351	CDS	726	inhA_1	4.2.1.103		Isonitrile hydratase
GKLDFEFB_00352	CDS	702				hypothetical protein
GKLDFEFB_00353	CDS	438				hypothetical protein
GKLDFEFB_00354	CDS	396				hypothetical protein
GKLDFEFB_00355	CDS	432				18 kDa heat shock protein
GKLDFEFB_00356	CDS	633				hypothetical protein
GKLDFEFB_00357	CDS	282				hypothetical protein
GKLDFEFB_00358	CDS	144				hypothetical protein
GKLDFEFB_00359	CDS	186				hypothetical protein
GKLDFEFB_00360	CDS	363				hypothetical protein
GKLDFEFB_00361	CDS	342				hypothetical protein
GKLDFEFB_00362	CDS	345				hypothetical protein
GKLDFEFB_00363	CDS	810				hypothetical protein
GKLDFEFB_00364	CDS	216				hypothetical protein
GKLDFEFB_00365	CDS	243				hypothetical protein
GKLDFEFB_00366	CDS	2127	gtfA_1	2.4.1.-		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit
GKLDFEFB_00367	CDS	270				hypothetical protein
GKLDFEFB_00368	CDS	672	nreC_1		COG2197	Oxygen regulatory protein NreC
GKLDFEFB_00369	CDS	1128				hypothetical protein
GKLDFEFB_00370	CDS	174				hypothetical protein
GKLDFEFB_00371	CDS	1503	dadA_1	1.4.99.-		D-amino acid dehydrogenase
GKLDFEFB_00372	CDS	780	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GKLDFEFB_00373	CDS	804				hypothetical protein
GKLDFEFB_00374	CDS	672				hypothetical protein
GKLDFEFB_00375	CDS	576				hypothetical protein
GKLDFEFB_00376	CDS	1827				hypothetical protein
GKLDFEFB_00377	CDS	1926				hypothetical protein
GKLDFEFB_00378	CDS	1173				hypothetical protein
GKLDFEFB_00379	CDS	897				hypothetical protein
GKLDFEFB_00380	CDS	1308	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
GKLDFEFB_00381	CDS	2124	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
GKLDFEFB_00382	CDS	510				hypothetical protein
GKLDFEFB_00383	CDS	513				hypothetical protein
GKLDFEFB_00384	CDS	1314				hypothetical protein
GKLDFEFB_00385	CDS	1056	chiD	3.2.1.14		Chitinase D
GKLDFEFB_00386	CDS	192				hypothetical protein
GKLDFEFB_00387	CDS	1737				hypothetical protein
GKLDFEFB_00388	CDS	1320	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GKLDFEFB_00389	CDS	294				hypothetical protein
GKLDFEFB_00390	CDS	972				hypothetical protein
GKLDFEFB_00391	CDS	333				hypothetical protein
GKLDFEFB_00392	CDS	1212				hypothetical protein
GKLDFEFB_00393	CDS	999				hypothetical protein
GKLDFEFB_00394	CDS	714	rnhA	3.1.26.4		Ribonuclease H
GKLDFEFB_00395	CDS	1422				hypothetical protein
GKLDFEFB_00396	CDS	1017	feaR		COG2207	Transcriptional activator FeaR
GKLDFEFB_00397	CDS	1116	gutB_1	1.1.1.-	COG1063	Sorbitol dehydrogenase
GKLDFEFB_00398	CDS	534				hypothetical protein
GKLDFEFB_00399	CDS	417				hypothetical protein
GKLDFEFB_00400	CDS	675				hypothetical protein
GKLDFEFB_00401	CDS	1188				hypothetical protein
GKLDFEFB_00402	CDS	1050	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
GKLDFEFB_00403	CDS	975	cdhR_2		COG4977	HTH-type transcriptional regulator CdhR
GKLDFEFB_00404	CDS	504	malT_1			HTH-type transcriptional regulator MalT
GKLDFEFB_00405	CDS	1458	mpdC	1.2.1.98		Hydroxyisobutyraldehyde dehydrogenase
GKLDFEFB_00406	CDS	1377				hypothetical protein
GKLDFEFB_00407	CDS	1359				hypothetical protein
GKLDFEFB_00408	CDS	1248				hypothetical protein
GKLDFEFB_00409	CDS	1104				hypothetical protein
GKLDFEFB_00410	CDS	768				hypothetical protein
GKLDFEFB_00411	CDS	729				hypothetical protein
GKLDFEFB_00412	CDS	1089				hypothetical protein
GKLDFEFB_00413	CDS	1155				hypothetical protein
GKLDFEFB_00414	CDS	387			COG0346	Virulence protein
GKLDFEFB_00415	CDS	174				hypothetical protein
GKLDFEFB_00416	CDS	1053	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
GKLDFEFB_00417	CDS	1068	ispB_1	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
GKLDFEFB_00418	CDS	900				hypothetical protein
GKLDFEFB_00419	CDS	636	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
